Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
445,6,02/03/2018 08:48:35,234228,3,1,0,0,0,0,0,0,0,0,0,0,0,17.0773776,78076,131265.8661,229627,76,234228,117114,159224.8908,229703,4525,0,0,0,0,0,0,0,0,0,68,28,12.8080332,4.269344399,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:47:40,60860062,15,13,870,3306,535,0,58,144.6315516,1460,0,254.3076923,538.4357567,68.61642698,0.460071828,2254076.37,4220283.566,1.00E+07,1,6.09E+07,4347147.286,5134036.59,1.01E+07,2138,6.08E+07,5065870.5,5234966.454,1.01E+07,1,0,0,0,0,312,264,0.246467051,0.213604777,0,1460,144,380.8669621,145059.6429,0,0,1,1,0,0,0,1,0,149.1428571,58,254.3076923,0,0,0,0,0,0,15,870,13,3306,8192,31088,9,20,130201.6667,148831.6544,434003,69408,1.00E+07,16330.68406,1.00E+07,9968389,Benign
49687,6,02/03/2018 08:48:41,68899,2,0,0,0,0,0,0,0,0,0,0,0,0,29.0279975,68899,0,68899,68899,68899,68899,0,68899,68899,0,0,0,0,0,0,0,0,0,40,0,29.0279975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31088,-1,0,20,0,0,0,0,0,0,0,0,Benign
0,0,02/03/2018 08:47:31,119250445,72,0,0,0,0,0,0,0,0,0,0,0,0,0.603771332,1679583.732,2528448.202,2.01E+07,170801,1.19E+08,1679583.732,2528448.202,2.01E+07,170801,0,0,0,0,0,0,0,0,0,0,0,0.603771332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,-1,-1,0,0,4.64E+07,2.09E+07,6.11E+07,3.16E+07,1.33E+07,9720570.758,2.01E+07,6381385,Benign
443,6,02/03/2018 08:47:38,116185749,21,18,749,4567,389,0,35.66666667,94.42422006,1460,0,253.7222222,516.5058858,45.75432052,0.335669394,3057519.711,4582223.965,1.00E+07,0,1.16E+08,5809287.45,4929086.208,1.00E+07,28,1.11E+08,6505413,4920453.778,1.00E+07,0,0,0,0,0,432,504,0.180745059,0.154924336,0,1460,132.9,364.8855669,133141.4769,0,0,1,1,0,0,0,1,0,136.3076923,35.66666667,253.7222222,0,0,0,0,0,0,21,749,18,4567,8192,980,15,20,46760.16667,89026.69707,329454,20847,9635383.25,1279465.907,1.00E+07,5572867,Benign
443,6,02/03/2018 08:48:36,60602600,13,14,338,3264,207,0,26,64.51227273,1460,0,233.1428571,522.5606858,59.43639382,0.44552544,2330869.231,4280721.113,1.00E+07,0,6.06E+07,5050216.667,5223517.717,1.01E+07,637,6.05E+07,4656495.385,5204710.91,1.01E+07,0,0,0,0,0,272,284,0.214512249,0.231013191,0,1460,128.6428571,380.3625185,144675.6455,0,0,1,1,0,0,0,1,1,133.4074074,26,233.1428571,0,0,0,0,0,0,13,338,14,3264,8192,48180,7,20,106008.1667,92770.95438,295376,68039,9994401.5,23886.95478,1.00E+07,9959152,Benign
80,6,02/03/2018 08:47:40,116690356,17,16,883,1576,436,0,51.94117647,144.5551238,788,0,98.5,269.1532401,21.07286398,0.28279972,3646573.625,4802617.578,1.00E+07,16,1.17E+08,7292436,4410906.134,1.00E+07,143,1.17E+08,7778611.133,4123216.976,1.00E+07,528,0,0,0,0,352,464,0.145684704,0.137115016,0,788,72.32352941,209.2010372,43765.07398,0,0,1,1,0,0,0,1,0,74.51515152,51.94117647,98.5,0,0,0,0,0,0,17,883,16,1576,8192,290,13,20,22699.66667,26978.00882,88621,11223,9700548.333,1014536.434,1.00E+07,6479791,Benign
80,6,02/03/2018 08:47:38,119731397,17,16,597,768,293,0,35.11764706,97.06433585,384,0,48,131.1609698,11.40051845,0.275616929,3741606.156,4889656.525,1.00E+07,17,1.20E+08,7482496.75,4439470.787,1.00E+07,564,1.20E+08,7981337,4130418.387,1.00E+07,303,0,0,0,0,352,464,0.141984479,0.133632451,0,384,40.14705882,111.7112437,12479.40196,0,0,1,1,0,0,0,1,0,41.36363636,35.11764706,48,0,0,0,0,0,0,17,597,16,768,8192,980,13,20,22859,26715.60238,82791,11324,9953803.333,138400.2774,1.00E+07,9520409,Benign
443,6,02/03/2018 08:47:38,118281864,36,83,1022,108156,250,0,28.38888889,64.57344778,1460,0,1303.084337,429.7638661,923.0324608,1.006071396,1002388.678,7643655.563,5.90E+07,0,1.18E+08,3379481.829,1.39E+07,5.90E+07,133,1.18E+08,1441514.171,9159139.287,5.90E+07,0,0,0,0,0,732,1672,0.304357733,0.701713663,0,1460,909.8166667,691.633871,478357.4115,0,0,1,1,0,0,0,1,2,917.4621849,28.38888889,1303.084337,0,0,0,0,0,0,36,1022,83,108156,8192,131,8,20,134521,79961.04903,191062,77980,5.90E+07,44452.97491,5.90E+07,5.89E+07,Benign
443,6,02/03/2018 08:50:29,192,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0,0,401041.6667,15625,96,110.3086579,174,18,192,96,110.3086579,174,18,0,0,0,0,0,1,0,0,0,60,0,15625,0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41,25.66666667,0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,Benign
49685,6,02/03/2018 08:50:29,30,2,0,0,0,0,0,0,0,0,0,0,0,0,66666.66667,30,0,30,30,30,30,0,30,30,0,0,0,0,0,0,0,0,0,40,0,66666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,131,-1,0,20,0,0,0,0,0,0,0,0,Benign
123,17,02/03/2018 08:48:22,64031632,2,2,96,96,48,48,48,0,48,48,48,0,2.998517982,0.062469125,2.13E+07,3.69E+07,6.40E+07,18132,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,0,0,0,0,16,16,0.031234562,0.031234562,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,0,0,0,0,0,0,2,96,2,96,-1,-1,1,8,18132,0,18132,18132,6.40E+07,0,6.40E+07,6.40E+07,Benign
80,6,02/03/2018 08:49:47,45889454,6,5,5,0,1,0,0.833333333,0.40824829,0,0,0,0,0.108957496,0.239706491,4588945.4,4984088.031,1.00E+07,11258,4.59E+07,9177890.8,1872590.544,1.00E+07,5828099,4.01E+07,1.00E+07,118.3328638,1.00E+07,1.00E+07,0,0,0,0,120,160,0.130748995,0.108957496,0,1,0.5,0.522232968,0.272727273,0,0,0,0,1,0,0,0,0,0.545454545,0.833333333,0,0,0,0,0,0,0,6,5,5,0,256,290,4,20,11343.75,93.21793461,11474,11258,1.00E+07,93.3702308,1.00E+07,1.00E+07,Benign
80,6,02/03/2018 08:49:48,45686320,6,5,5,0,1,0,0.833333333,0.40824829,0,0,0,0,0.109441951,0.240772292,4568632,4978893.581,1.00E+07,11319,4.57E+07,9137264,1963428.681,1.00E+07,5624976,4.01E+07,1.00E+07,20.43485584,1.00E+07,1.00E+07,0,0,0,0,120,160,0.131330341,0.109441951,0,1,0.5,0.522232968,0.272727273,0,0,0,0,1,0,0,0,0,0.545454545,0.833333333,0,0,0,0,0,0,0,6,5,5,0,253,980,4,20,11404,63.95310782,11472,11346,1.00E+07,59.46988033,1.00E+07,1.00E+07,Benign
445,6,02/03/2018 08:50:53,278701,3,1,0,0,0,0,0,0,0,0,0,0,0,14.3522987,92900.33333,160856.1386,278641,0,278701,139350.5,197071.367,278701,0,0,0,0,0,0,0,0,0,0,72,32,10.76422403,3.588074675,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign
445,6,02/03/2018 08:51:08,177928,3,1,0,0,0,0,0,0,0,0,0,0,0,22.48100355,59309.33333,102497.3105,177663,56,177928,88964,125518.5247,177719,209,0,0,0,0,0,0,0,0,0,72,32,16.86075266,5.620250888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:22,139995,9,8,511,4855,194,0,56.77777778,83.27781484,1460,0,606.875,711.3017117,38329.94036,121.4329083,8749.6875,15837.99355,55617,1,139995,17499.375,19158.26772,55617,16,90855,12979.28571,27145.93809,72846,1,0,0,0,0,192,172,64.28801029,57.14489803,0,1460,298.1111111,540.8522565,292521.1634,0,0,1,1,0,0,0,1,0,315.6470588,56.77777778,606.875,0,0,0,0,0,0,9,511,8,4855,8192,30,4,20,0,0,0,0,0,0,0,0,Benign
49728,6,02/03/2018 08:51:22,247,2,1,38,0,38,0,19,26.87005769,0,0,0,0,153846.1538,12145.74899,123.5,150.6137444,230,17,247,247,0,247,247,0,0,0,0,0,1,0,0,0,40,20,8097.165992,4048.582996,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,31,0,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:22,156775,9,8,511,4856,194,0,56.77777778,83.27781484,1460,0,607,711.2096336,34233.77452,108.4356562,9798.4375,18712.04258,69099,0,156775,19596.875,23224.59527,69099,15,106166,15166.57143,32269.01258,86868,0,0,0,0,0,192,172,57.4071121,51.02854409,0,1460,298.1666667,540.8359814,292503.5588,0,0,1,1,0,0,0,1,0,315.7058824,56.77777778,607,0,0,0,0,0,0,9,511,8,4856,8192,30,4,20,0,0,0,0,0,0,0,0,Benign
49729,6,02/03/2018 08:51:22,137,2,1,38,0,38,0,19,26.87005769,0,0,0,0,277372.2628,21897.81022,68.5,77.07463915,123,14,137,137,0,137,137,0,0,0,0,0,1,0,0,0,40,20,14598.54015,7299.270073,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,31,0,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:22,171900,9,8,511,4856,194,0,56.77777778,83.27781484,1460,0,607,711.2096336,31221.64049,98.89470622,10743.75,20546.40007,77116,0,171900,21487.5,25513.67466,77116,15,118173,16881.85714,35004.20308,94125,0,0,0,0,0,192,172,52.35602094,46.53868528,0,1460,298.1666667,540.8359814,292503.5588,0,0,1,1,0,0,0,1,0,315.7058824,56.77777778,607,0,0,0,0,0,0,9,511,8,4856,8192,30,4,20,0,0,0,0,0,0,0,0,Benign
49731,6,02/03/2018 08:51:22,15,2,0,0,0,0,0,0,0,0,0,0,0,0,133333.3333,15,0,15,15,15,15,0,15,15,0,0,0,0,0,0,0,0,0,40,0,133333.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,-1,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:23,62670,9,7,557,3773,206,0,61.88888889,88.34371008,1460,0,539,655.4329358,69092.06957,255.3055689,4178,5949.235125,16491,1,62670,7833.75,7116.47898,19003,18,44059,7343.166667,10684.85606,24747,1,0,0,0,0,192,152,143.6093825,111.6961864,0,1460,254.7058824,474.6863128,225327.0956,0,0,1,1,0,0,0,1,0,270.625,61.88888889,539,0,0,0,0,0,0,9,557,7,3773,8192,119,4,20,0,0,0,0,0,0,0,0,Benign
49733,6,02/03/2018 08:51:23,10593,2,1,38,0,38,0,19,26.87005769,0,0,0,0,3587.274615,283.2058907,5296.5,7469.16893,10578,15,10593,10593,0,10593,10593,0,0,0,0,0,1,0,0,0,40,20,188.8039271,94.40196356,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,123,0,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:23,325271,9,6,524,2879,206,0,58.22222222,86.00403737,1430,0,479.8333333,624.5146649,10462.04549,46.11539301,23233.64286,37578.35994,94696,1,325271,40658.875,42685.03702,95005,18,230254,46050.8,64466.4917,134995,1,0,0,0,0,192,132,27.66923581,18.4461572,0,1430,212.6875,424.0628442,179829.2958,0,0,1,1,0,0,0,1,0,226.8666667,58.22222222,479.8333333,0,0,0,0,0,0,9,524,6,2879,8192,242,4,20,0,0,0,0,0,0,0,0,Benign
49739,6,02/03/2018 08:51:23,17222,2,1,38,0,38,0,19,26.87005769,0,0,0,0,2206.480084,174.1957961,8611,12150.92293,17203,19,17222,17222,0,17222,17222,0,0,0,0,0,1,0,0,0,40,20,116.1305307,58.06526536,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,246,0,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:23,309608,9,6,522,2877,204,0,58,85.57598962,1430,0,479.5,624.1204211,10978.39849,48.44836051,22114.85714,40812.23305,97540,2,309608,38701,48687.24896,97799,16,211852,42370.4,58138.05713,113739,2,0,0,0,0,192,132,29.0690163,19.3793442,0,1430,212.4375,423.7876778,179595.9958,0,0,1,1,0,0,0,1,0,226.6,58,479.5,0,0,0,0,0,0,9,522,6,2877,8192,172,4,20,0,0,0,0,0,0,0,0,Benign
49745,6,02/03/2018 08:51:24,96328,2,1,38,0,38,0,19,26.87005769,0,0,0,0,394.4855078,31.14359272,48164,68088.72617,96310,18,96328,96328,0,96328,96328,0,0,0,0,0,1,0,0,0,40,20,20.76239515,10.38119757,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:24,116036,9,6,520,3062,202,0,57.77777778,85.15100965,1430,0,510.3333333,663.8550042,30869.73008,129.2702265,8288.285714,11006.59293,34508,1,116036,14504.5,13578.109,34508,17,83410,16682,21805.46668,53025,1,0,0,0,0,192,132,77.56213589,51.70809059,0,1430,223.875,451.0940589,203485.85,0,0,1,1,0,0,0,1,0,238.8,57.77777778,510.3333333,0,0,0,0,0,0,9,520,6,3062,8192,172,4,20,0,0,0,0,0,0,0,0,Benign
49748,6,02/03/2018 08:51:24,390,2,1,38,0,38,0,19,26.87005769,0,0,0,0,97435.89744,7692.307692,195,251.7300141,373,17,390,390,0,390,390,0,0,0,0,0,1,0,0,0,40,20,5128.205128,2564.102564,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0,0,0,0,0,0,0,0,Benign
53,17,02/03/2018 08:47:40,1405,1,1,35,83,35,35,35,0,83,83,83,0,83985.76512,1423.487544,1405,0,1405,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,711.7437722,711.7437722,35,83,51,27.71281292,768,0,0,0,0,0,0,0,0,1,76.5,35,83,0,0,0,0,0,0,1,35,1,83,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
80,6,02/03/2018 08:51:25,23880,3,5,428,2267,428,0,142.6666667,247.1059152,1460,0,453.4,662.3804043,112855.9464,335.0083752,3411.428571,5587.879021,11607,0,11771,5885.5,8111.221887,11621,150,12273,3068.25,5780.139351,11730,0,0,0,0,0,72,112,125.6281407,209.3802345,0,1460,299.4444444,519.498583,269878.7778,0,0,1,1,0,0,0,1,1,336.875,142.6666667,453.4,0,0,0,0,0,0,3,428,5,2267,8192,237,1,20,0,0,0,0,0,0,0,0,Benign
80,6,02/03/2018 08:51:25,177,2,0,0,0,0,0,0,0,0,0,0,0,0,11299.43503,177,0,177,177,177,177,0,177,177,0,0,0,0,0,0,0,0,0,40,0,11299.43503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:24,119966,6,7,1176,4360,645,0,196,260.0822947,1336,0,622.8571429,633.8465715,46146.40815,108.3640365,9997.166667,13323.41402,30371,0,89901,17980.2,15424.40008,35612,163,94654,15775.66667,17592.52736,35306,0,0,0,0,0,132,152,50.01417068,58.3498658,0,1336,395.4285714,519.3074848,269680.2637,0,0,1,1,0,0,0,1,1,425.8461538,196,622.8571429,0,0,0,0,0,0,6,1176,7,4360,8192,5840,3,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:25,2206,3,0,53,0,53,0,17.66666667,30.59956427,0,0,0,0,24025.38531,1359.927471,1103,1537.250142,2190,16,2206,1103,1537.250142,2190,16,0,0,0,0,0,0,0,0,0,60,0,1359.927471,0,0,53,13.25,26.5,702.25,0,0,0,0,1,0,0,0,0,17.66666667,17.66666667,0,0,0,0,0,0,0,3,53,0,0,254,-1,1,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:24,328806,9,6,515,2878,197,0,57.22222222,84.10228561,1430,0,479.6666667,624.3174406,10319.15476,45.61960548,23486.14286,36235.40968,94069,1,328806,41100.75,40410.66518,94836,17,234501,46900.2,64034.6875,123540,1,0,0,0,0,192,132,27.37176329,18.24784219,0,1430,212.0625,423.9393775,179724.5958,0,0,1,1,0,0,0,1,0,226.2,57.22222222,479.6666667,0,0,0,0,0,0,9,515,6,2878,8192,172,4,20,0,0,0,0,0,0,0,0,Benign
443,6,02/03/2018 08:51:24,344202,9,6,515,2877,197,0,57.22222222,84.10228561,1430,0,479.5,624.1204211,9854.678357,43.57906113,24585.85714,37491.07703,94129,1,344202,43025.25,46148.06816,109938,18,249897,49979.4,61729.64723,123459,1,0,0,0,0,192,132,26.14743668,17.43162445,0,1430,212,423.800582,179606.9333,0,0,1,1,0,0,0,1,0,226.1333333,57.22222222,479.5,0,0,0,0,0,0,9,515,6,2877,8192,172,4,20,0,0,0,0,0,0,0,0,Benign
80,6,02/03/2018 08:51:25,46844,3,4,436,858,436,0,145.3333333,251.7247174,858,0,214.5,429,27623.60174,149.4321578,7807.333333,11905.65356,23193,18,23387,11693.5,16288.2047,23211,176,23651,7883.666667,13399.07853,23355,31,0,0,0,0,72,92,64.04235334,85.38980446,0,858,161.75,320.0347079,102422.2143,0,0,1,1,0,0,0,1,1,184.8571429,145.3333333,214.5,0,0,0,0,0,0,3,436,4,858,8192,31,1,20,0,0,0,0,0,0,0,0,Benign
80,6,02/03/2018 08:51:25,174,2,0,0,0,0,0,0,0,0,0,0,0,0,11494.25287,174,0,174,174,174,174,0,174,174,0,0,0,0,0,0,0,0,0,40,0,11494.25287,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,253,-1,0,20,0,0,0,0,0,0,0,0,Benign
49755,6,02/03/2018 08:51:25,75237,2,1,38,0,38,0,19,26.87005769,0,0,0,0,505.0706434,39.87399817,37618.5,53176.55127,75220,17,75237,75237,0,75237,75237,0,0,0,0,0,1,0,0,0,40,20,26.58266544,13.29133272,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0,0,0,0,0,0,0,0,Benign
49756,6,02/03/2018 08:51:25,87494,2,1,38,0,38,0,19,26.87005769,0,0,0,0,434.3154959,34.28806547,43747,61847.80172,87480,14,87494,87494,0,87494,87494,0,0,0,0,0,1,0,0,0,40,20,22.85871031,11.42935516,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0,0,0,0,0,0,0,0,Benign
